"Record Type","Setup Sequence","Organization Type","Organization Shortname","Organization Sort Order","Organization Enabled","User Types (name|shortname|sort)","Profile Forms (name|shortname|user type)","Category","Category Shortname","Category Sort Order","Category Collapsed","Field","Existing / New","Field Shortname","Field Description","Field Type","Core Field Mapping","Field Library Required","Form Required Override","Readonly Override","Visible Override","Uniqueness Scope","Visible","Read Only","Sensitive","Field Enabled","Default Value","Options JSON","Validation JSON","Field Sort Order","Applies To User Types","Applies To Profile Forms","Configuration Screen","Display / Mapping Rules","Ownership / Security Notes","Company Mapping Example","Source Reference"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Company","Existing (IOMAD Company)","","","","","","","","","","","","","","","","","","","","IOMAD Company","Do not add to Field Library.","IOMAD Company: Configure in IOMAD; never create as a profile field.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Department","Existing (IOMAD Department)","","","","","","","","","","","","","","","","","","","","IOMAD Department","Do not add to Field Library.","IOMAD Department: Configure in IOMAD; keep separate from Moodle course categories.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Learning population","Existing (Moodle Cohort)","","","","","","","","","","","","","","","","","","","","Moodle Cohort","Do not add to Field Library.","Moodle Cohort: Use Cohort for grade, intake, or reusable learning population where appropriate.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Course","Existing (Moodle Course)","","","","","","","","","","","","","","","","","","","","Moodle Course","Do not add to Field Library.","Moodle Course: Do not recreate Subject or Course as a dynamic profile field.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Course-local population","Existing (Moodle Group)","","","","","","","","","","","","","","","","","","","","Moodle Group","Do not add to Field Library.","Moodle Group: Do not recreate course groups or sections as dynamic profile fields.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Authorization","Existing (Moodle Roles and Capabilities)","","","","","","","","","","","","","","","","","","","","Moodle Roles and Capabilities","Do not add to Field Library.","Moodle Roles and Capabilities: Never grant permissions based on business User Type or a profile field value.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Username","Existing (Moodle core user account)","","","","","","","","","","","","","","","","","","","","Moodle core user account","Do not add to Field Library.","Moodle core user account: Not one of local_orgprofile's selected core-field placements; manage through Moodle user APIs.","","Corrected from attached School CSV / plugin ownership rules"
"Ownership Rule","0 Prerequisite","","","","","","","","","","","Profile Photo","Existing (Moodle core user account)","","","","","","","","","","","","","","","","","","","","Moodle core user account","Do not add to Field Library.","Moodle core user account: Image/file field is outside V1; retain Moodle profile picture ownership.","","Corrected from attached School CSV / plugin ownership rules"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Basic Information","basic_information","10","No","First Name","Existing (Moodle core)","core_firstname","First Name","text","firstname","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""required"":true,""maxlength"":100}","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value; not company-scoped. Update through Moodle user API. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Basic Information","basic_information","10","No","Last Name","Existing (Moodle core)","core_lastname","Last Name","text","lastname","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""required"":true,""maxlength"":100}","20","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value; not company-scoped. Update through Moodle user API. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Contact","contact","20","No","Primary Email","Existing (Moodle core)","core_email","Primary Email","email","email","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""required"":true,""email"":true,""maxlength"":254}","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value. Moodle duplicate-email and confirmation policy applies. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Contact","contact","20","No","Primary Phone","Existing (Moodle core)","core_phone1","Primary Phone","phone","phone1","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""phone"":true,""minlength"":7,""maxlength"":20}","20","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value; not company-scoped. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Contact","contact","20","No","Secondary Phone","Existing (Moodle core)","core_phone2","Secondary Phone","phone","phone2","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""phone"":true,""minlength"":7,""maxlength"":20}","30","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value; not company-scoped. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Address","address","60","No","City","Existing (Moodle core)","core_city","City","text","city","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""required"":true,""maxlength"":120}","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Moodle-global core value; not company-scoped. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Address","address","60","No","Country","Existing (Moodle core)","core_country","Country","menu","country","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","","20","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Leave optionsjson blank; Moodle supplies its country list.","Moodle-global core value; not company-scoped. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Basic Information","basic_information","10","No","Middle Name","New (plugin-defined)","middle_name","Middle Name","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","30","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Address","address","60","No","Address Line 1","New (plugin-defined)","address_line_1","Address Line 1","textarea","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":255}","30","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","Corrected from attached CSV: not one of the selected Moodle core mappings in this plugin"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Address","address","60","No","State / Province","New (plugin-defined)","state_province","State / Province","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":120}","40","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","Generalized from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Address","address","60","No","Postal / PIN Code","New (plugin-defined)","postal_code","Postal / PIN Code","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":20}","50","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Use generic validation by default. For an India-only form, trusted admin may configure regex /^[0-9]{6}$/.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","Generalized from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Emergency","emergency","80","Yes","Emergency Contact Name","New (plugin-defined)","emergency_contact_name","Emergency Contact Name","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":150}","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Emergency","emergency","80","Yes","Emergency Contact Relationship","New (plugin-defined)","emergency_contact_relationship","Emergency Contact Relationship","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","20","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Emergency","emergency","80","Yes","Emergency Contact Mobile","New (plugin-defined)","emergency_contact_mobile","Emergency Contact Mobile","phone","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""phone"":true,""minlength"":7,""maxlength"":20}","30","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Health & Accessibility","health_accessibility","85","Yes","Accessibility Support Required","New (plugin-defined)","accessibility_support_required","Accessibility Support Required","boolean","","No","No","Inherit","Inherit","none","Yes","No","Yes","Yes","","","","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Boolean Yes/No. No conditional subform exists in V1.","Requires dedicated sensitive view/edit capabilities. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Compliance & Consent","compliance_consent","90","Yes","Profile Verification Date and Time","New (plugin-defined)","profile_verified_at","Profile Verification Date and Time","datetime","","No","No","Inherit","Inherit","none","Yes","Yes","No","Yes","","","{""date"":true}","10","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Use readonly field when administrators record verification; V1 does not auto-populate workflow timestamps.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","All 10 organization types: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_field_library","","Yes","All user types","All 45 profile forms; see Organization Setup records for exact names","Compliance & Consent","compliance_consent","90","Yes","Profile Data Confirmed Accurate","New (plugin-defined)","profile_data_confirmed","Profile Data Confirmed Accurate","checkbox","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","","20","All user types","All 45 profile forms; see Organization Setup records for exact names","Field Library; Form Categories; Form Fields","Required checkbox; unchecked submission is rejected. This records state only and is not an approval workflow.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Reuse the same Field Library record; saved custom values remain user + company scoped.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","Shared employment fields: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_employment_library","","Yes","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Employment","employment","40","No","Employee / Staff ID","New (plugin-defined)","employee_id","Employee / Staff ID","text","","No","Yes","Inherit","Inherit","company","Yes","No","No","Yes","","","{""minlength"":2,""maxlength"":50}","10","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Field Library; Form Categories; Form Fields","One reusable company-unique employment identifier field. Use required placement override only on employment forms.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Create each shared employment field once and reuse it across the listed organization forms.","New organization-specific recommendation"
