course_shortname,fullname,category_idnumber,company_shortname,department_shortname,template_shortname,format,visible,summary
NBU-ADS501-2026,Advanced Data Science 2026,NBU_ADS501,NBU_ENGINEERING,NBU_SCIENCE,NBU_TEMPLATE_MSC_DS,topics,1,Sanitized demonstration course for Advanced Data Science 2026.
NBU-AI501-2026,Applied Artificial Intelligence 2026,NBU_AI501,NBU_ENGINEERING,NBU_SCIENCE,NBU_TEMPLATE_MSC_DS,iomadvideo,1,Sanitized demonstration course for Applied Artificial Intelligence 2026.
NBU-BD501-2026,Big Data Systems 2026,NBU_BD501,NBU_ENGINEERING,NBU_SCIENCE,NBU_TEMPLATE_MSC_DS,topics,1,Sanitized demonstration course for Big Data Systems 2026.
NBU-RES501-2026,Research Methods 2026,NBU_RES501,NBU_ENGINEERING,NBU_SCIENCE,NBU_TEMPLATE_MSC_DS,topics,1,Sanitized demonstration course for Research Methods 2026.
NBU-LIT101-2026,World Literature 2026,NBU_LIT101,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_BA_ENG,topics,1,Sanitized demonstration course for World Literature 2026.
NBU-COM101-2026,Academic Communication 2026,NBU_COM101,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_BA_ENG,iomadvideo,1,Sanitized demonstration course for Academic Communication 2026.
NBU-LIN101-2026,Linguistics 2026,NBU_LIN101,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_BA_ENG,topics,1,Sanitized demonstration course for Linguistics 2026.
NBU-CW101-2026,Creative Writing 2026,NBU_CW101,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_BA_ENG,topics,1,Sanitized demonstration course for Creative Writing 2026.
NBU-LIT501-2026,Literary Theory 2026,NBU_LIT501,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_MA_ENG,topics,1,Sanitized demonstration course for Literary Theory 2026.
NBU-CUL501-2026,Cultural Studies 2026,NBU_CUL501,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_MA_ENG,iomadvideo,1,Sanitized demonstration course for Cultural Studies 2026.
NBU-RES502-2026,Humanities Research 2026,NBU_RES502,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_MA_ENG,topics,1,Sanitized demonstration course for Humanities Research 2026.
NBU-DIG501-2026,Digital Humanities 2026,NBU_DIG501,NBU_ENGINEERING,NBU_ARTS,NBU_TEMPLATE_MA_ENG,topics,1,Sanitized demonstration course for Digital Humanities 2026.
NBU-ORIENTATION-2026,University Orientation 2026,NBU_ORIENTATION,NBU_ENGINEERING,NBU_STUDENT,NBU_TEMPLATE_ORIENTATION,topics,1,Sanitized all-learner course used for feature demonstrations.
